timestamp,user_id,message
2025-12-01 09:15:23,user001,登録ボタンはどこにありますか？
2025-12-02 10:30:45,user002,エラーが表示されて進めることができません。
2025-12-03 11:00:12,user003,メニューの一覧が見つかりません。
2025-12-04 11:15:33,user004,CSVデータをエクスポートする方法を教えてください。
2025-12-05 12:00:00,user005,収穫管理の機能を追加して欲しいです。
2025-12-06 09:00:15,user006,ログインパスワードを忘れました。
2025-12-07 10:20:30,user007,肥料の計算が合わないようです。
2025-12-08 11:45:10,user001,前の画面に戻るボタンが欲しいです。
2025-12-09 14:00:00,user008,Androidアプリ版はありますか？
2025-12-10 15:30:45,user002,画面が真っ白になって動かなくなりました。
2025-12-11 08:15:23,user009,使い方がよくわかりません。マニュアルはどこ？
2025-12-12 13:10:12,user010,写真のアップロードに失敗します。
2025-12-13 10:00:00,user003,設定メニューの場所を教えてください。
2025-12-14 11:30:20,user005,通知をオフにしたいのですが。
2025-12-15 09:45:10,user011,もっと簡単に日誌をつけたいです。
2025-12-16 16:20:00,user012,サーバーに接続できませんというエラーが出ます。
2025-12-17 09:15:33,user001,登録ボタンを見つけました。ありがとうございます。
2025-12-18 10:30:45,user013,データの自動保存機能はありますか？
2025-12-19 14:00:00,user014,文字が小さすぎて読みにくいです。
2025-12-20 15:45:10,user015,退会方法を教えてください。
2025-12-21 09:00:00,user016,病害虫の診断機能はどこにありますか？
2025-12-22 10:30:00,user017,今月の散布記録を修正したい。
2025-12-23 11:45:00,user018,天気予報と連動して欲しいです。
2025-12-24 13:00:00,user019,家族でデータを共有できますか？
2025-12-25 15:00:00,user020,クリスマスのイベントはありますか？
2025-12-26 10:15:00,user021,カメラが起動しません。
2025-12-27 11:30:00,user022,昨日入力したデータが消えています。
2025-12-28 14:45:00,user023,地図機能が使いにくいです。
2025-12-29 16:00:00,user024,プランの変更をしたいのですが。
2025-12-30 09:20:00,user025,ログアウトの方法を教えてください。
2025-12-31 23:59:00,user026,来年もよろしくお願いします。
2026-01-01 10:00:00,user027,元日の気温データが反映されていません。
2026-01-02 11:15:00,user028,アプリのおかげで管理が楽になりました。
2026-01-03 13:30:00,user029,データのPDFでの出力は可能ですか？
2026-01-04 15:45:00,user030,通知の音を変更したいです。
2026-01-05 08:50:00,user031,農薬の希釈倍率を計算する機能が欲しい。
2026-01-05 09:30:00,user032,スマート農業の連携について知りたい。
2026-01-05 10:10:00,user033,過去3年分の履歴は見れますか？
2026-01-06 11:40:00,user034,スマホの機種変更をしたらどうすればいい？
2026-01-06 14:15:00,user035,画面の明るさを調整したい。
2026-01-06 16:50:00,user036,動作が最近重たくなった気がします。
2026-01-07 09:10:00,user037,圃場の登録制限はありますか？
2026-01-07 10:25:00,user038,複数のデバイスで同時ログインできますか？
2026-01-07 11:40:00,user039,請求書が届かないのですが。
2026-01-07 13:20:00,user040,新しい肥料の種類を追加して。
2026-01-07 14:50:00,user041,オフラインでも使えますか？
2026-01-07 15:30:00,user042,音声入力に対応していますか？
2026-01-07 16:10:00,user043,API連携の方法をドキュメントでください。
2026-01-07 17:00:00,user044,アイコンを緑から青に変更できますか？
2026-01-07 18:00:00,user045,パスワードの変更手順を教えて。
